RKS,comp,#,type,HIP,G2K,sample1,sample2,RA,DEC,map,sep,parallax,pmra,pmdec,Gmag,Bg-Rg,Bg,Rg,PA,DR2_ID,RA_RKS_DD,DEC_RKS_DD
RKS0021+1934,-,1,K*,,G2K000039,40-50,eq,00:21:31.8,+19:34:25.1,......,........,20.817,110.216,-56.288,11.716,1.910,12.676,10.766,.....,2797502969447956352,5.382500,19.573639
RKS0021-3303,-,1,K*,,,40-50,so,00:21:34.8,-33:03:15.3,......,........,22.159,106.745,151.199,9.629,1.190,10.163,8.973,.....,2315403679429887616,5.395000,-33.054250
RKS0021-6628,-,1,K*,HIP001719,,40-50,so,00:21:36.0,-66:28:34.7,......,........,22.084,255.274,162.213,9.404,1.058,9.869,8.811,.....,4707574844098893696,5.400000,-66.476306
RKS0021-4710,-,1,K*,HIP001723,,40-50,so,00:21:39.9,-47:10:39.2,......,........,21.938,155.808,63.563,9.445,1.210,9.994,8.784,.....,4977562535641773312,5.416250,-47.177556
RKS0022+2122,-,1,K*,,G2K000040,40-50,eq,00:22:04.9,+21:22:29.8,......,........,22.083,-54.070,12.272,9.670,1.172,10.196,9.024,.....,2799491985982491264,5.520417,21.374944
RKS0022-2701,-,1,K*,HIP001768,G2K000041,00-33,eq,00:22:23.6,-27:01:57.0,......,........,45.954,287.803,-423.699,8.041,1.099,8.534,7.434,.....,2323302296085774464,5.598333,-27.032500
RKS0022+0640,-,1,K*,HIP001771,G2K000042,40-50,eq,00:22:25.2,+06:40:03.1,......,........,22.446,191.022,-229.162,10.605,1.723,11.448,9.724,.....,2747724882602989440,5.605000,6.667528
RKS0022-5231,-,1,K*,HIP001807,,40-50,so,00:22:56.7,-52:31:34.9,......,........,20.945,114.164,-474.376,9.570,1.084,10.050,8.965,.....,4924552709243456256,5.736250,-52.526361
RKS0023+5445,-,1,K*,,,40-50,no,00:23:15.0,+54:45:07.2,......,........,21.599,329.268,-45.097,10.925,1.803,11.829,10.026,.....,419667031230236800,5.812500,54.752000
RKS0023-3310,-,1,K*,HIP001837,,00-33,so,00:23:16.0,-33:10:03.0,......,........,44.971,-31.417,126.350,8.386,1.321,8.999,7.678,.....,2315390347851431680,5.816667,-33.167500
RKS0023-0345,-,1,K*,HIP001866,G2K000043,40-50,eq,00:23:37.8,-03:45:48.5,......,........,20.012,251.397,-57.826,10.253,1.370,10.890,9.520,.....,2540245938930012288,5.907500,-3.763472
RKS0023+7122,-,1,K*,,,40-50,no,00:23:39.1,+71:22:59.6,......,........,22.979,231.420,-43.689,11.073,1.870,12.012,10.143,.....,537081988173426944,5.912917,71.383222
RKS0023-3651,-,1,K*,HIP001885,,33-40,so,00:23:47.3,-36:51:40.9,......,........,27.050,-184.377,-65.995,10.076,1.573,10.837,9.263,.....,4998678274197780864,5.947083,-36.861361
RKS0024-2450,-,1,K*,HIP001933,G2K000044,40-50,eq,00:24:22.0,-24:50:55.7,......,........,20.274,292.369,-223.338,9.292,1.085,9.774,8.689,.....,2347808554843141888,6.091667,-24.848806
RKS0024-2701,-,1,K*,HIP001936+,G2K000045,00-33,eq,00:24:25.9,-27:01:36.3,......,........,55.706,665.588,84.102,7.617,1.165,8.145,6.980,.....,2322574488107786624,6.107917,-27.026750
RKS0025+4541,-,1,K*,HIP001978,,40-50,no,00:25:04.3,+45:41:19.2,......,........,24.106,257.651,-90.336,9.242,1.275,9.827,8.551,.....,388856202858272128,6.267917,45.688667
RKS0025+1054,-,1,K*,,G2K000046,33-40,eq,00:25:06.8,+10:54:44.3,......,........,27.777,-74.552,-83.490,9.617,1.336,10.236,8.900,.....,2754199081945134080,6.278333,10.912306
RKS0025-6130,-,1,K*,HIP001993,,40-50,so,00:25:14.7,-61:30:48.2,......,........,22.643,87.925,-56.166,10.680,1.830,11.588,9.758,.....,4902014095262270336,6.311250,-61.513389
RKS0025-3242,-,1,K*,,,40-50,so,00:25:17.3,-32:42:27.4,......,........,23.908,134.754,-18.303,10.496,1.804,11.392,9.588,.....,2315801462121049856,6.322083,-32.707611
RKS0025-3747,-,1,K*,,,40-50,so,00:25:59.2,-37:47:28.1,......,........,22.902,-2.159,-287.343,11.390,1.851,12.325,10.474,.....,4997825259333105536,6.496667,-37.791139
RKS0026+3011,-,1,K*,HIP002102,,40-50,no,00:26:40.5,+30:11:58.0,......,........,22.098,254.419,-153.501,9.693,1.264,10.271,9.007,.....,2859009581186224000,6.668750,30.199444
RKS0026+3046,-,1,K*,,,40-50,no,00:26:58.9,+30:46:58.4,......,........,21.222,43.171,-31.346,10.296,1.410,10.957,9.547,.....,2859179627531336320,6.745417,30.782889
RKS0027-3223,-,1,K*,HIP002194,,40-50,so,00:27:43.5,-32:23:14.8,......,........,21.614,335.005,-105.209,8.827,0.960,9.230,8.270,.....,2315857227976341504,6.931250,-32.387444
RKS0027-0629,-,1,K*,HIP002201+,G2K000047,40-50,eq,00:27:49.9,-06:29:09.9,......,........,22.556,283.121,-926.313,11.028,1.638,11.822,10.183,.....,2430787146908038528,6.957917,-6.486083
RKS0028-1613,-,1,K*,HIP002247,G2K000048,33-40,eq,00:28:34.3,-16:13:34.8,......,........,28.990,-355.181,-227.737,9.201,1.357,9.836,8.479,.....,2367734656180397952,7.142917,-16.226333
RKS0028-0239,-,1,K*,,G2K000049,40-50,eq,00:28:35.7,-02:39:50.3,......,........,22.458,73.373,2.213,10.683,1.719,11.526,9.807,.....,2540712922134895744,7.148750,-2.663972
RKS0028+3721,-,1,K*,,,40-50,no,00:28:51.3,+37:21:07.6,......,........,22.162,223.433,13.431,9.968,1.421,10.635,9.215,.....,366864497128705152,7.213750,37.352111
RKS0028-3054,-,1,K*,,,33-40,so,00:28:51.6,-30:54:59.2,......,........,27.284,-57.725,-20.629,10.979,1.797,11.883,10.086,.....,2318245057994196608,7.215000,-30.916444
RKS0029-3226,-,1,K*,,,40-50,so,00:29:13.4,-32:26:35.0,......,........,20.982,88.431,-72.355,10.357,1.387,11.003,9.616,.....,2315847263652246784,7.305833,-32.443056
RKS0029+2040,-,1,K*,,G2K000050,40-50,eq,00:29:21.6,+20:40:12.2,......,........,24.674,35.151,18.279,11.582,0.848,11.905,11.058,.....,2796532371262802304,7.340000,20.670056
