main_name,plan_id,num_obs,objectname,ra_j2000,dec_j2000,epoch,airmass,shutter_ut_time_date,exptime,emavg,emnumsmp,snrem,decker,temp_chiron,pathfile,comments
G2K000001,522,1,G2K000001,00:00:01.07,-19:29:54.8,2000.0,1.050,2020-10-28T01:14:36.307,900.0,5.75,8995,27.664530286830306,slicer,23.143,/nfs/morgan/chiron/tous/mir7/fitspec/201027/achi201027.1128.fits,
G2K000005,553,9,G2K000005,00:01:05.98,-23:26:40.8,2000.0,1.270,2019-12-06T02:35:40.385,900.0,6.05,9005,28.512627954242816,slicer,23.217,/nfs/morgan/chiron/tous/mir7/fitspec/191205/achi191205.1129.fits,
 ,553, ,G2K000005,00:01:04.81,-23:26:27.4,2000.0,1.242,2021-09-19T02:11:28.582,900.0,10.98,9000,39.73222528747545,slicer,22.794,/nfs/morgan/chiron/tous/mir7/fitspec/210918/achi210918.1130.fits,
 ,553, ,G2K000005,00:01:04.31,-23:26:34.9,2000.0,1.009,2021-08-26T06:43:20.731,900.0,6.72,9000,30.275014012093447,slicer,22.703,/nfs/morgan/chiron/tous/mir7/fitspec/210825/achi210825.1138.fits,
 ,553, ,G2K000005,00:01:05.11,-23:26:27.4,2000.0,1.090,2021-08-18T05:17:19.383,900.0,8.67,9000,34.92331848044084,slicer,23.191,/nfs/morgan/chiron/tous/mir7/fitspec/210817/achi210817.1148.fits,
 ,553, ,G2K000005,00:01:04.66,-23:26:29.7,2000.0,1.180,2021-09-21T02:23:33.429,900.0,8.71,9000,35.01220964103692,slicer,22.88,/nfs/morgan/chiron/tous/mir7/fitspec/210920/achi210920.1132.fits,
 ,553, ,G2K000005,00:01:04.59,-23:26:32.4,2000.0,1.076,2021-09-17T03:27:36.482,900.0,10.17,9000,38.1151224384358,slicer,22.313,/nfs/morgan/chiron/tous/mir7/fitspec/210916/achi210916.1136.fits,
 ,553, ,G2K000005,00:01:06.28,-23:26:36.5,2000.0,1.315,2019-12-03T02:58:47.289,900.0,6.16,8995,28.79255981678225,slicer,23.23,/nfs/morgan/chiron/tous/mir7/fitspec/191202/achi191202.1131.fits,
 ,553, ,G2K000005,00:01:03.58,-23:26:42.4,2000.0,1.018,2021-08-22T06:05:27.933,900.0,8.32,9000,34.13564828587776,slicer,23.045,/nfs/morgan/chiron/tous/mir7/fitspec/210821/achi210821.1156.fits,
 ,553, ,G2K000005,00:01:05.28,-23:26:38.6,2000.0,1.213,2019-12-08T02:11:18.030,900.0,4.59,8995,24.18974029515719,slicer,23.219,/nfs/morgan/chiron/tous/mir7/fitspec/191207/achi191207.1127.fits,
G2K000007,643,1,G2K000007,00:01:14.53,13:58:30.0,2000.0,1.689,2022-05-25T10:26:49.905,900.0,3.56,8998,20.62372786955079,slicer,23.104,/nfs/morgan/chiron/tous/mir7/fitspec/220524/achi220524.1174.fits,
G2K000011,643,2,G2K000011,00:03:01.97,16:55:44.6,2000.0,1.494,2022-08-30T05:36:57.655,900.0,3.7,9000,21.147562003227307,slicer,23.174,/nfs/morgan/chiron/tous/mir7/fitspec/220829/achi220829.1150.fits,
 ,643, ,G2K000011,00:03:01.98,16:55:42.8,2000.0,1.479,2022-08-30T05:52:15.294,900.0,3.7,9000,21.147562003227307,slicer,23.18,/nfs/morgan/chiron/tous/mir7/fitspec/220829/achi220829.1151.fits,
G2K000012,643,1,G2K000012,00:05:40.73,-07:54:04.1,2000.0,1.344,2022-05-30T09:46:34.751,900.0,6.69,9000,30.19791359905915,slicer,23.019,/nfs/morgan/chiron/tous/mir7/fitspec/220529/achi220529.1126.fits,
G2K000016,643,2,G2K000016,00:09:00.25,-25:07:11.8,2000.0,1.079,2022-08-12T05:53:49.006,1200.0,2.72,11999,20.875229730175995,slicer,23.019,/nfs/morgan/chiron/tous/mir7/fitspec/220811/achi220811.1150.fits,
 ,643, ,G2K000016,00:09:00.61,-25:07:13.7,2000.0,1.050,2022-08-12T06:14:06.648,1200.0,2.89,12000,21.70368335904937,slicer,23.013,/nfs/morgan/chiron/tous/mir7/fitspec/220811/achi220811.1151.fits,
G2K000017,643,2,G2K000017,00:09:16.13,25:16:39.3,2000.0,1.830,2022-08-28T05:35:40.603,1200.0,2.73,12000,20.92592658134682,slicer,23.152,/nfs/morgan/chiron/tous/mir7/fitspec/220827/achi220827.1150.fits,
 ,643, ,G2K000017,00:09:16.00,25:16:36.9,2000.0,1.789,2022-08-28T05:55:58.239,1200.0,2.77,11999,21.121918393776134,slicer,23.16,/nfs/morgan/chiron/tous/mir7/fitspec/220827/achi220827.1151.fits,
G2K000019,643,1,G2K000019,00:00:00.00,00:00:00.0,0.0,0.0,2022-09-01T05:32:50.955,900.0,16.58,9000,49.48717776274108,slicer,23.169,/nfs/morgan/chiron/tous/mir7/fitspec/220831/achi220831.1143.fits,
G2K000020,553,12,G2K000020,00:12:34.76,21:42:40.5,2000.0,1.940,2021-09-21T02:59:28.180,1200.0,2.77,12000,21.12305068647536,slicer,22.881,/nfs/morgan/chiron/tous/mir7/fitspec/210920/achi210920.1136.fits,
 ,553, ,G2K000020,00:12:34.81,21:42:36.9,2000.0,1.914,2021-09-19T03:11:31.125,1200.0,2.94,12000,21.941079169431,slicer,22.799,/nfs/morgan/chiron/tous/mir7/fitspec/210918/achi210918.1136.fits,
 ,553, ,G2K000020,00:12:35.63,21:42:56.6,2000.0,1.665,2019-11-26T01:24:14.735,1200.0,2.49,12000,19.701807054049087,slicer,23.209,/nfs/morgan/chiron/tous/mir7/fitspec/191125/achi191125.1124.fits,
 ,553, ,G2K000020,00:12:36.00,21:42:48.7,2000.0,1.694,2021-08-12T06:34:02.381,1200.0,2.28,12000,18.564607438986062,slicer,23.176,/nfs/morgan/chiron/tous/mir7/fitspec/210811/achi210811.1157.fits,
 ,553, ,G2K000020,00:12:37.47,21:42:42.0,2000.0,1.835,2021-08-12T09:10:28.375,1200.0,2.69,11999,20.725807199725534,slicer,23.174,/nfs/morgan/chiron/tous/mir7/fitspec/210811/achi210811.1178.fits,
 ,553, ,G2K000020,00:12:34.02,21:42:24.3,2000.0,1.639,2021-08-22T06:24:06.427,1200.0,2.7,12000,20.776856187265192,slicer,23.042,/nfs/morgan/chiron/tous/mir7/fitspec/210821/achi210821.1158.fits,
 ,553, ,G2K000020,00:12:35.03,21:42:35.7,2000.0,1.699,2021-09-17T04:10:40.583,1200.0,3.09,12000,22.63833488636754,slicer,22.319,/nfs/morgan/chiron/tous/mir7/fitspec/210916/achi210916.1141.fits,
 ,553, ,G2K000020,00:12:36.24,21:42:43.0,2000.0,1.629,2021-08-17T06:54:45.974,1200.0,2.77,11999,21.121918393776134,slicer,23.186,/nfs/morgan/chiron/tous/mir7/fitspec/210816/achi210816.1156.fits,
 ,553, ,G2K000020,00:12:36.54,21:42:36.7,2000.0,1.640,2021-08-13T07:59:31.276,1200.0,2.73,12000,20.92592658134682,slicer,23.172,/nfs/morgan/chiron/tous/mir7/fitspec/210812/achi210812.1161.fits,
